"DOI";"Paper_ID";"Title";"Country";"Mattyp1";"Exporter_ecosyst";"Chemical";"Ratio";"Type_ecosyst";"Receiver_ecosyst"
"1";"10.1111/fwb.12474";435;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Kenya";"Mammal faeces";"Grassland";"CN";35.36507937;"Terrestrial";"Stream"
"2";"10.1111/fwb.12474";435;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Kenya";"Mammal faeces";"Grassland";"CP";222.8;"Terrestrial";"Stream"
"3";"10.1111/fwb.12474";435;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Kenya";"Mammal faeces";"Grassland";"NP";6.3;"Terrestrial";"Stream"
"4";"10.1111/fwb.12474";435;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Kenya";"Mammal faeces";"Grassland";"CN";6.87254902;"Terrestrial";"Stream"
"5";"10.1111/fwb.12474";435;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Kenya";"Mammal faeces";"Grassland";"CP";70.1;"Terrestrial";"Stream"
"6";"10.1111/fwb.12474";435;"The hippopotamus conveyor belt : vectors of carbon and nutrients from terrestrial grasslands to aquatic systems in sub-Saharan Africa";"Kenya";"Mammal faeces";"Grassland";"NP";10.2;"Terrestrial";"Stream"
"7";"10.1073/pnas.1614778114";645;"Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River";"Kenya";"Carcass";"Grassland";"CN";8.5;"Terrestrial";"Stream"
"8";"10.1073/pnas.1614778114";645;"Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River";"Kenya";"Carcass";"Grassland";"CP";2;"Terrestrial";"Stream"
"9";"10.1073/pnas.1614778114";645;"Annual mass drownings of the Serengeti wildebeest migration influence nutrient cycling and storage in the Mara River";"Kenya";"Carcass";"Grassland";"NP";20.96969697;"Terrestrial";"Stream"
"10";"10.1007/s10021-008-9158-8";1;"Ecosystem Linkages Between Lakes and the Surrounding Terrestrial Landscape in Northeast Iceland";"Iceland";"Terr. inverteb.";"Grassland";"NP";7.069230769;"Terrestrial";"Lake"
"11";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Forest";"CN";4.98;"Terrestrial";"Lake"
"12";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Forest";"CP";68.17;"Terrestrial";"Lake"
"13";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Forest";"NP";13.72;"Terrestrial";"Lake"
"14";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Grassland";"CN";3.94;"Terrestrial";"Lake"
"15";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Grassland";"CP";27.54;"Terrestrial";"Lake"
"16";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Grassland";"NP";6.99;"Terrestrial";"Lake"
"17";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Forest";"CN";5.21;"Terrestrial";"Lake"
"18";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Forest";"CP";94.81;"Terrestrial";"Lake"
"19";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Forest";"NP";18.3;"Terrestrial";"Lake"
"20";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Grassland";"CN";3.8;"Terrestrial";"Lake"
"21";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Grassland";"CP";24.61;"Terrestrial";"Lake"
"22";"10.1111/fwb.13130";749;"Amphibian-mediated nutrient fluxes across aquatic–terrestrial boundaries of temporary wetlands";"Illinois, USA";"Amphib.";"Grassland";"NP";6.48;"Terrestrial";"Lake"
"23";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";75;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Illinois, USA";"Amphib.";"Forest";"CN";5.275347;"Terrestrial";"Lake"
"24";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";75;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Illinois, USA";"Amphib.";"Forest";"CN";3.779326;"Terrestrial";"Lake"
"26";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";75;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Illinois, USA";"Amphib.";"Forest";"CN";4;"Terrestrial";"Lake"
"27";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";75;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Illinois, USA";"Amphib.";"Forest";"CN";3.8;"Terrestrial";"Lake"
"28";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. inverteb.";"Forest";"CN";5.631298162;"Terrestrial";"Stream"
"29";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. inverteb.";"Forest";"CP";83.57771261;"Terrestrial";"Stream"
"30";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. inverteb.";"Forest";"NP";14.84164223;"Terrestrial";"Stream"
"31";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. inverteb.";"Forest";"CN";4.510688836;"Terrestrial";"Stream"
"32";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. inverteb.";"Forest";"CP";68.60903226;"Terrestrial";"Stream"
"33";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. inverteb.";"Forest";"NP";15.21032258;"Terrestrial";"Stream"
"34";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. plants";"Forest";"CN";53.47776511;"Terrestrial";"Stream"
"35";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. plants";"Forest";"CP";1042.222222;"Terrestrial";"Stream"
"36";"10.1899/08-038.1";447;"Deposition and decomposition of periodical cicadas (Homoptera: Cicadidae: Magicicauda) in woodland aquatic ecosystems";"Ohio, USA";"Terr. plants";"Forest";"NP";19.48888889;"Terrestrial";"Stream"
"37";"10.1111/j.1744-7429.2012.00896.x";26;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Costa Rica";"Terr. inverteb.";"Forest";"CN";4.96;"Terrestrial";"Stream"
"38";"10.1111/j.1744-7429.2012.00896.x";26;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Costa Rica";"Terr. inverteb.";"Forest";"CP";99.2;"Terrestrial";"Stream"
"39";"10.1111/j.1744-7429.2012.00896.x";26;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Costa Rica";"Terr. inverteb.";"Forest";"NP";20;"Terrestrial";"Stream"
"70";"10.1899/12-074.1";28;"Riparian litter inputs to streams in the central Oregon Coast Range";"Oregon, USA";"Terr. plants";"Forest";"CN";28;"Terrestrial";"Stream"
"71";"10.1899/12-074.1";28;"Riparian litter inputs to streams in the central Oregon Coast Range";"Oregon, USA";"Terr. plants";"Forest";"CN";56;"Terrestrial";"Stream"
"89";"10.1111/oik.01524";607;"Boomerang ecosystem fluxes: Organic carbon inputs from land to lakes are returned to terrestrial food webs via aquatic insects";"Germany";"Terr. plants";"Forest";"CN";15.7;"Terrestrial";"Lake"
"90";"10.1111/j.1365-2427.2012.02740.x";757;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"British Columbia, Canada";"Terr. plants";"Forest";"CN";25.5;"Terrestrial";"Stream"
"91";"10.1111/j.1365-2427.2012.02740.x";757;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"British Columbia, Canada";"Terr. plants";"Forest";"CP";226.9;"Terrestrial";"Stream"
"92";"10.1111/j.1365-2427.2012.02740.x";757;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"British Columbia, Canada";"Terr. plants";"Forest";"NP";8.95;"Terrestrial";"Stream"
"93";"10.1111/j.1365-2427.2012.02740.x";757;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"British Columbia, Canada";"Terr. plants";"Forest";"CN";37;"Terrestrial";"Stream"
"94";"10.1111/j.1365-2427.2012.02740.x";757;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"British Columbia, Canada";"Terr. plants";"Forest";"CP";272.4;"Terrestrial";"Stream"
"95";"10.1111/j.1365-2427.2012.02740.x";757;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"British Columbia, Canada";"Terr. plants";"Forest";"NP";7.38;"Terrestrial";"Stream"
"130";"10.1111/j.1442-9993.1993.tb00465.x";760;"Litter Inputs To a Tropical Australian Rain-Forest Stream";"Queensland, Australia";"Terr. plants";"Forest";"NP";43.34482759;"Terrestrial";"Stream"
"131";"10.1111/j.1442-9993.1993.tb00465.x";760;"Litter Inputs To a Tropical Australian Rain-Forest Stream";"Queensland, Australia";"Terr. plants";"Forest";"NP";43.5;"Terrestrial";"Stream"
"132";"10.1111/j.1442-9993.1993.tb00465.x";760;"Litter Inputs To a Tropical Australian Rain-Forest Stream";"Queensland, Australia";"Carcass";"Forest";"NP";20.70833333;"Terrestrial";"Stream"
"133";"10.1111/j.1365-2427.2006.01512.x";552;"Litter quality, stream characteristics and litter diversity influence decomposition rates and macroinvertebrates";"Arizona, USA";"Terr. plants";"Forest";"NP";26.2;"Terrestrial";"Stream"
"134";"10.1111/j.1365-2427.2006.01512.x";552;"Litter quality, stream characteristics and litter diversity influence decomposition rates and macroinvertebrates";"Arizona, USA";"Terr. plants";"Forest";"NP";3.09;"Terrestrial";"Stream"
"135";"10.1111/j.1365-2427.2006.01512.x";552;"Litter quality, stream characteristics and litter diversity influence decomposition rates and macroinvertebrates";"Arizona, USA";"Terr. plants";"Forest";"NP";4.62;"Terrestrial";"Stream"
"136";"10.1111/j.1365-2427.2006.01512.x";552;"Litter quality, stream characteristics and litter diversity influence decomposition rates and macroinvertebrates";"Arizona, USA";"Terr. plants";"Forest";"NP";10.5;"Terrestrial";"Stream"
"137";"10.1111/j.1365-2427.2006.01512.x";552;"Litter quality, stream characteristics and litter diversity influence decomposition rates and macroinvertebrates";"Arizona, USA";"Terr. plants";"Forest";"NP";3.4;"Terrestrial";"Stream"
"138";"10.1899/06-113.1";762;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Utah, USA";"Terr. plants";"Forest";"CN";96.026;"Terrestrial";"Stream"
"139";"10.1899/06-113.1";762;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Utah, USA";"Terr. plants";"Forest";"CN";89.594;"Terrestrial";"Stream"
"140";"10.1899/06-113.1";762;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Utah, USA";"Terr. plants";"Forest";"CP";742.58;"Terrestrial";"Stream"
"141";"10.1899/06-113.1";762;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Utah, USA";"Terr. plants";"Forest";"CP";312.9;"Terrestrial";"Stream"
"142";"10.1899/06-113.1";762;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Utah, USA";"Terr. plants";"Forest";"NP";7.73;"Terrestrial";"Stream"
"143";"10.1899/06-113.1";762;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Utah, USA";"Terr. plants";"Forest";"NP";3.49;"Terrestrial";"Stream"
"161";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"CN";95.17844;"Terrestrial";"Stream"
"162";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"CP";2557.909;"Terrestrial";"Stream"
"163";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"NP";20.19363;"Terrestrial";"Stream"
"164";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"CN";156.1481;"Terrestrial";"Stream"
"165";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"CP";1899.606;"Terrestrial";"Stream"
"166";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"NP";12.81812;"Terrestrial";"Stream"
"167";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"CN";169.2493;"Terrestrial";"Stream"
"168";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"CP";2535.556;"Terrestrial";"Stream"
"169";"";32;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Mississippi River, USA";"Terr. plants";"Forest";"NP";16.14626;"Terrestrial";"Stream"
"171";"10.1899/07-134.1";231;"Modeling C and N flows through a stream food web: an inverse approach";"Hawaï, USA";"Terr. plants";"Forest";"CN";28.72839506;"Terrestrial";"Stream"
"172";"10.1899/07-134.1";231;"Modeling C and N flows through a stream food web: an inverse approach";"Hawaï, USA";"Carcass";"Forest";"CN";23.41346154;"Terrestrial";"Stream"
"173";"";608;"Dispersal of Terrestrial Plant Litter into a Subalpine Lake";"Washington, USA";"Terr. plants";"Forest";"CN";125;"Terrestrial";"Lake"
"174";"";608;"Dispersal of Terrestrial Plant Litter into a Subalpine Lake";"Washington, USA";"Terr. plants";"Forest";"CP";1000;"Terrestrial";"Lake"
"175";"";608;"Dispersal of Terrestrial Plant Litter into a Subalpine Lake";"Washington, USA";"Terr. plants";"Forest";"NP";8;"Terrestrial";"Lake"
"176";"doi:10.1016/B978-012088449-0.50005-4";233;"Organic Matter Processing in Tropical Streams";"Kenya";"Terr. plants";"Forest";"CN";51.9;"Terrestrial";"Stream"
"177";"doi:10.1016/B978-012088449-0.50005-4";233;"Organic Matter Processing in Tropical Streams";"Kenya";"Carcass";"Forest";"CN";39.9;"Terrestrial";"Stream"
"178";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";19.3;"Terrestrial";"Stream"
"179";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";44.9;"Terrestrial";"Stream"
"180";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";33.1;"Terrestrial";"Stream"
"181";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";44.8;"Terrestrial";"Stream"
"182";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";5.6;"Terrestrial";"Stream"
"183";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";35.2;"Terrestrial";"Stream"
"184";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";26.7;"Terrestrial";"Stream"
"185";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Portugal";"Terr. plants";"Forest";"CN";32.1;"Terrestrial";"Stream"
"186";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";35.7;"Terrestrial";"Stream"
"187";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";16.9;"Terrestrial";"Stream"
"188";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";25.9;"Terrestrial";"Stream"
"189";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";20.3;"Terrestrial";"Stream"
"190";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";49.3;"Terrestrial";"Stream"
"191";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";33.2;"Terrestrial";"Stream"
"192";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";26.4;"Terrestrial";"Stream"
"193";"10.1002/iroh.200911173";774;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Venezuela";"Terr. plants";"Forest";"CN";18.2;"Terrestrial";"Stream"
"194";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";27.272;"Terrestrial";"Stream"
"195";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";19.647343;"Terrestrial";"Stream"
"196";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";22.51207729;"Terrestrial";"Stream"
"197";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";15.47933884;"Terrestrial";"Stream"
"198";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";18.53679654;"Terrestrial";"Stream"
"199";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";20.99537037;"Terrestrial";"Stream"
"200";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";25.24444444;"Terrestrial";"Stream"
"201";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";20.055;"Terrestrial";"Stream"
"202";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";26.06896552;"Terrestrial";"Stream"
"203";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";18.51515152;"Terrestrial";"Stream"
"204";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CN";30.61313869;"Terrestrial";"Stream"
"205";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CP";460.6756757;"Terrestrial";"Stream"
"206";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CP";317.734375;"Terrestrial";"Stream"
"207";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"CP";656.3380282;"Terrestrial";"Stream"
"208";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"NP";18.24324324;"Terrestrial";"Stream"
"209";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"NP";16.171875;"Terrestrial";"Stream"
"210";"10.1111/j.1365-2427.2006.01515.";220;"Does leaf quality mediate the stimulation of leaf breakdown by phosphorus in Neotropical streams?";"Costa Rica";"Terr. plants";"Forest";"NP";29.15492958;"Terrestrial";"Stream"
"357";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CP";4858;"Terrestrial";"Stream"
"358";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"CN";73;"Terrestrial";"Stream"
"359";"10.1046/j.1461-0248.2003.00481.x";782;"Consumer-resource stoichiometry in detritus-based streams";"North Carolina, USA";"Terr. plants";"Forest";"NP";67;"Terrestrial";"Stream"
